Recording date:	2016/06/07
Recording time:	15:34:38
Recording resolution	1024 x 768

pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 120 Hz
sampletime: 8.33205667182 ms
accuracy (in pixels): LX=509.9068, LY=382.3034, RX=509.9308, RY=382.2862
precision (RMS noise in pixels): X=209.745083375, Y=172.68178827
distance between participant and display: 57.0 cm
fixation threshold: 43.7594828432 pixels
speed threshold: 1.02082144273 pixels/ms
accuracy threshold: 279.647443825 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	524.0931	402.7957	0	508.4620	408.2488	0	0.5042	0.5280	
8.4	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
25.0	521.8115	410.2063	0	508.3382	420.0796	0	0.5030	0.5406	
33.3	524.6686	420.2857	0	503.0365	411.3646	0	0.5018	0.5414	
41.7	523.5569	416.8316	0	503.2466	410.0208	0	0.5014	0.5383	
50.0	524.5511	421.4470	0	508.6633	414.6263	0	0.5045	0.5443	
58.4	526.6536	385.5458	0	503.5366	405.2567	0	0.5030	0.5148	
66.6	528.9945	401.8397	0	505.7260	412.9763	0	0.5052	0.5305	
75.0	528.8759	399.1025	0	501.1018	409.4538	0	0.5029	0.5264	
83.3	529.2579	403.9588	0	510.6179	417.1603	0	0.5078	0.5346	
91.7	525.9129	400.0657	0	502.1050	413.6572	0	0.5020	0.5298	
100.0	528.2784	404.4113	0	499.3814	427.2231	0	0.5018	0.5414	
108.3	524.0155	400.3055	0	504.8557	419.6489	0	0.5024	0.5338	
116.7	525.9567	404.1537	0	499.0243	403.2287	0	0.5005	0.5256	
125.0	527.7967	400.4605	0	500.6976	404.5265	0	0.5022	0.5241	
133.4	525.9523	402.6378	0	506.9910	419.1863	0	0.5044	0.5350	
141.6	527.3163	411.9021	0	502.3152	411.5688	0	0.5027	0.5361	
150.0	527.8946	403.1208	0	501.3172	401.0490	0	0.5025	0.5235	
158.3	524.8524	412.0990	0	501.0244	401.9974	0	0.5009	0.5300	
166.7	529.9675	393.7505	0	506.0291	416.0426	0	0.5059	0.5272	
175.0	523.2003	390.5224	0	505.0701	417.4518	0	0.5021	0.5260	
183.3	523.6796	396.9398	0	506.1174	418.6888	0	0.5028	0.5310	
191.6	527.2073	405.6534	0	502.3697	415.6366	0	0.5027	0.5347	
200.0	526.9498	405.3102	0	501.9598	421.4554	0	0.5024	0.5383	
208.3	524.0742	403.3535	0	507.8096	412.2368	0	0.5038	0.5310	
216.6	528.4599	403.3861	0	508.8309	410.3425	0	0.5065	0.5298	
225.0	525.0351	397.5594	0	497.4454	406.7224	0	0.4993	0.5236	
233.3	530.3597	406.5970	0	505.1988	409.1556	0	0.5056	0.5311	
241.7	523.9609	400.3559	0	507.5109	409.7197	0	0.5036	0.5274	
250.0	521.8746	401.7583	0	505.2877	411.0271	0	0.5015	0.5292	
258.3	527.0480	405.7293	0	501.6052	410.1169	0	0.5023	0.5311	
266.6	524.0754	405.8618	0	504.0464	417.5014	0	0.5020	0.5360	
275.0	529.6556	405.1056	0	505.2661	412.8362	0	0.5053	0.5325	
283.3	526.5508	402.7485	0	503.4653	408.4573	0	0.5029	0.5281	
291.6	525.7799	398.4760	0	500.0531	415.5091	0	0.5009	0.5299	
300.0	530.5632	408.2934	0	501.5283	412.5608	0	0.5040	0.5344	
308.3	527.7376	409.2557	0	506.7144	409.6977	0	0.5051	0.5332	
316.6	525.0719	402.7587	0	505.0389	417.7560	0	0.5030	0.5342	
325.0	523.1810	388.0723	0	504.6652	412.8149	0	0.5019	0.5214	
333.3	526.4718	409.2059	0	504.6636	419.0393	0	0.5035	0.5392	
341.6	530.1784	409.4728	0	508.3635	407.6581	0	0.5071	0.5320	
350.0	528.9277	408.7689	0	501.2507	411.9036	0	0.5030	0.5343	
358.3	525.7523	411.7088	0	509.1435	401.8570	0	0.5053	0.5297	
366.7	515.1978	399.0269	0	498.6317	405.6132	0	0.4950	0.5239	
374.9	484.8042	407.0521	0	465.0501	415.0861	0	0.4638	0.5352	
383.3	461.3584	406.8623	0	445.9888	405.2061	0	0.4430	0.5287	
391.6	450.9470	400.6060	0	429.2504	413.4720	0	0.4298	0.5300	
400.0	460.9777	412.4927	0	440.0276	405.8666	0	0.4399	0.5328	
408.2	460.3673	415.9686	0	440.6260	420.4412	0	0.4399	0.5445	
416.6	454.4020	386.9102	0	439.5808	417.9194	0	0.4365	0.5240	
424.9	454.0476	394.8576	0	437.9900	409.2780	0	0.4356	0.5235	
433.3	459.8060	416.5166	0	435.1410	411.7941	0	0.4370	0.5393	
441.7	459.4185	405.4724	0	436.0102	405.5896	0	0.4372	0.5280	
449.9	458.3500	411.4484	0	443.1365	409.8575	0	0.4402	0.5347	
458.2	456.3824	397.4079	0	441.4913	414.6450	0	0.4384	0.5287	
466.6	456.5037	417.9728	0	438.5847	409.1289	0	0.4371	0.5385	
